segment_type,segment_id,year,buffer_size,sensor_type,ndvi_mean,ndvi_std,ndwi_mean,ndwi_std,ndbi_mean,ndbi_std,ndvi_category,ndwi_category,ndbi_category
100m,8,2007,100,L7,0.1694120370968936,0.0618289743066099,-0.17576099923138752,0.054677815299470536,-0.0557375773628846,0.05077582489587898,low - lower,very low - upper,low - lower
100m,8,2007,200,L7,0.17887032687334273,0.07311863345010049,-0.1845888560656496,0.06507764459723725,-0.058057622958348085,0.05436637537492125,low - lower,very low - upper,low - lower
100m,8,2007,300,L7,0.1766730705973109,0.0682803472900671,-0.18238734672358675,0.06144200460795798,-0.056921066826632234,0.054000292230993535,low - lower,very low - upper,low - lower
100m,8,2008,100,L7,0.1811701882816951,0.06774726822713167,-0.18169795724868198,0.060542849721579105,-0.07643151618250942,0.05033022388185418,low - lower,very low - upper,low - lower
100m,8,2008,200,L7,0.1872379678241726,0.07479108904563386,-0.1887377192150864,0.06663541342407474,-0.07465754270371994,0.056413373993076416,low - lower,very low - upper,low - lower
100m,8,2008,300,L7,0.18557003093941696,0.07128719022908,-0.18773360659802088,0.0642236678061147,-0.07175402580075517,0.053785883168140404,low - lower,very low - upper,low - lower
100m,8,2009,100,L7,0.12891374876830827,0.04523902427393236,-0.14690856955506534,0.04189923881360611,-0.01038271201371561,0.03885289862128034,low - lower,very low - upper,low - lower
100m,8,2009,200,L7,0.13669043129238712,0.056742011984964626,-0.15719312831670249,0.05257374493994738,-0.008069818202476119,0.04618563762650903,low - lower,very low - upper,low - lower
100m,8,2009,300,L7,0.13748027693894033,0.05359841688847218,-0.1584989939621678,0.0492932318167185,-0.009139192700829035,0.04673421915926795,low - lower,very low - upper,low - lower
100m,8,2010,100,L7,0.13658805077662298,0.054693489732699004,-0.15763038173139982,0.047839778793618094,-0.015967423949593242,0.05276094380625643,low - lower,very low - upper,low - lower
100m,8,2010,200,L7,0.1500053883671231,0.06237264679719907,-0.1708286388129304,0.05555487271090898,-0.020372909660797515,0.05604190546826942,low - lower,very low - upper,low - lower
100m,8,2010,300,L7,0.15059899125295295,0.05890637218773838,-0.17125416352419093,0.05288295403945411,-0.021233716941007275,0.05601490103543503,low - lower,very low - upper,low - lower
100m,8,2011,100,L7,0.1593484328267986,0.05539488086046246,-0.17687935796192683,0.048817005511505605,-0.04022346362473358,0.04995496832105848,low - lower,very low - upper,low - lower
100m,8,2011,200,L7,0.17075635049462748,0.06610578466273784,-0.1892859333173132,0.05825382268168864,-0.042725939495512,0.05384778584028597,low - lower,very low - upper,low - lower
100m,8,2011,300,L7,0.1706589802331496,0.06287893005228794,-0.1892856131664903,0.055984466001239734,-0.04302547250623635,0.05377015263095307,low - lower,very low - upper,low - lower
100m,8,2012,100,L7,0.05211697021349298,0.07825420775503071,-0.056492627099447544,0.08401159654449937,-0.021739396551217018,0.034892655273370994,very low - upper,low - lower,low - lower
100m,8,2012,200,L7,0.05966924376762318,0.08030687234241594,-0.0667139377338839,0.08658152117017015,-0.020997064346744053,0.0397934634770172,very low - upper,low - lower,low - lower
100m,8,2012,300,L7,0.0731041063198671,0.0837622974683641,-0.08086267652310351,0.08912124064384712,-0.023974405463172,0.04064966903120126,very low - upper,low - lower,low - lower
100m,8,2013,100,L7,0.1801172535602843,0.06354285569340594,-0.19044455155007992,0.053969442480728144,-0.058329331839842666,0.05013080511945386,low - lower,very low - upper,low - lower
100m,8,2013,200,L7,0.18970250365677704,0.07483784884407853,-0.20060450382910885,0.06472807568838536,-0.060733522162162115,0.05485590062708476,low - lower,very low - upper,low - lower
100m,8,2013,300,L7,0.16511618516939136,0.08902210445166683,-0.17542352224518193,0.08486503957383319,-0.051359017865590634,0.054856515545784225,low - lower,very low - upper,low - lower
100m,9,2007,100,L7,0.16802448180921165,0.0810566611068366,-0.17526714417125697,0.07181291197221532,-0.0448235731976311,0.0617544316604776,low - lower,very low - upper,low - lower
100m,9,2007,200,L7,0.1878836800346972,0.07112604628868775,-0.1919512603186989,0.06293526476962316,-0.06346126833413668,0.054819591869374316,low - lower,very low - upper,low - lower
100m,9,2007,300,L7,0.18664978837222415,0.06805665901895441,-0.19175793561462823,0.06068083935108863,-0.05992187643775171,0.05518101767070092,low - lower,very low - upper,low - lower
100m,9,2008,100,L7,0.1759600564156613,0.08044503798144305,-0.17689598224663108,0.07206585541212208,-0.06151486317222213,0.062093999343134414,low - lower,very low - upper,low - lower
100m,9,2008,200,L7,0.19706578828219679,0.07213057892358393,-0.19703615861894977,0.0646446883767214,-0.07909857442080692,0.05614987713713101,low - lower,very low - upper,low - lower
100m,9,2008,300,L7,0.1973966060398805,0.06925286531408845,-0.19878349381246876,0.06190101076257355,-0.07729764201990037,0.05310128141838296,low - lower,very low - upper,low - lower
100m,9,2009,100,L7,0.12305696322335795,0.05954234268735498,-0.14495421766140082,0.054996573019223026,0.00795487939275344,0.04429078803884774,low - lower,very low - upper,low - upper
100m,9,2009,200,L7,0.14343161522504908,0.05473939474389822,-0.16310343530843438,0.05073554261558223,-0.011709290869136583,0.04407780151326718,low - lower,very low - upper,low - lower
100m,9,2009,300,L7,0.1452732110194014,0.05262382767023812,-0.165921133779602,0.04850683586573189,-0.010461998622583875,0.04688050267764362,low - lower,very low - upper,low - lower
100m,9,2010,100,L7,0.13158741589856016,0.06779419188285907,-0.1548501235700331,0.05957280155969068,-0.002790487004186369,0.06119163264574477,low - lower,very low - upper,low - lower
100m,9,2010,200,L7,0.15726692188139835,0.06205144993193559,-0.1765392949511279,0.05495942888617829,-0.02469802627044925,0.056443874381522055,low - lower,very low - upper,low - lower
